plant_id,latin_name,common_name,suitability_score,hardiness,habit,edibility,moisture,soil,shade,medicinal,reasons
5727,Pinus monophylla,"Single Leaf Piñon, Single Leaf PinyonPine, Stone Pine,  Pine Pinyon",1.312,6-8,Tree,4.0,DM,LM,N,2.0,Suitable conditions
6990,Salix hybrids,Hybrid willows,1.312,2-11,Shrub,3.0,MWe,LMH,N,3.0,Suitable conditions
7142,Satureja montana,Winter Savory,1.312,6-11,Shrub,4.0,DM,LM,N,3.0,Suitable conditions
4983,Morus nigra,Black Mulberry,1.312,5-10,Tree,5.0,M,LMH,SN,3.0,Suitable conditions
2926,Elaeagnus x ebbingei,"Elaeagnus, Ebbing's Silverberry",1.312,5-9,Shrub,5.0,DM,LMH,FSN,2.0,Suitable conditions
6785,Rubus idaeus,"Raspberry, American red raspberry, Grayleaf red raspberry",1.312,4-8,Shrub,5.0,M,LMH,SN,3.0,Suitable conditions
4974,Morus alba,"White Mulberry, Common Mulberry,",1.312,4-10,Tree,4.0,M,LMH,SN,3.0,Suitable conditions
715,Arctostaphylos uva-ursi,Bearberry,1.312,4-8,Shrub,3.0,M,LM,FSN,4.0,Suitable conditions
1223,Betula pubescens,"White Birch,  Downy birch",1.312,2-9,Tree,3.0,DMWe,LMH,N,3.0,Suitable conditions
4724,Malus domestica,Apple,1.312,3-8,Tree,5.0,M,LMH,SN,2.0,Suitable conditions
2430,Crataegus monogyna,"Hawthorn,  Oneseed hawthorn",1.312,4-8,Shrub,3.0,MWe,LMH,SN,5.0,Suitable conditions
7848,Thymus x citriodorus,"Lemon Thyme, Creeping Lemon Thyme, Lemon-Scented  Thyme",1.312,5-10,Shrub,4.0,DM,LM,N,2.0,Suitable conditions
686,Aralia nudicaulis,Wild Sarsaparilla,1.308,4-8,Perennial,4.0,M,LMH,FS,3.0,Suitable conditions
4800,Matricaria recutita,German Camomile,1.308,5-9,Annual,1.0,DM,LMH,N,5.0,Suitable conditions
8040,Typha domingensis,Southern Cattail,1.308,5-12,Perennial,4.0,WeWa,LMH,N,3.0,Suitable conditions
3595,Glycyrrhiza uralensis,Gan Cao,1.308,5-9,Perennial,3.0,M,LMH,SN,4.0,Suitable conditions
2585,Cynara scolymus,Globe Artichoke,1.308,5-9,Perennial,3.0,M,LMH,N,5.0,Suitable conditions
5038,Myrrhis odorata,"Sweet Cicely, Anise",1.308,4-8,Perennial,4.0,M,LMH,SN,3.0,Suitable conditions
5216,Origanum vulgare hirtum,Greek Oregano,1.308,4-8,Perennial,4.0,DM,LMH,SN,3.0,Suitable conditions
6443,Raphanus sativus niger,Oriental Radish,1.308,2-11,Annual,4.0,M,LMH,SN,3.0,Suitable conditions
1973,Cichorium intybus,"Chicory, Radicchio, Succory, Witloof",1.308,3-7,Perennial,4.0,M,LMH,N,3.0,Suitable conditions
7259,Secale hybrids,Perennial cereal rye,1.308,3-9,Perennial,5.0,M,LMH,N,1.0,Suitable conditions
7374,Silybum marianum,"Milk Thistle, Blessed milkthistle",1.288,6-9,Biennial,3.0,DM,LMH,N,5.0,Suitable conditions
1667,Carum carvi,Caraway,1.288,3-9,Biennial,4.0,M,LMH,SN,3.0,Suitable conditions
4611,Lycium chinense,"Chinese Boxthorn, Chinese desert-thorn",1.278,5-9,Shrub,4.0,M,LMH,N,3.0,Suitable conditions
2459,Crataegus tanacetifolia,Tansy-Leaved Thorn,1.278,6-8,Tree,5.0,DMWe,LMH,SN,2.0,Suitable conditions
4098,Juglans nigra,Black Walnut,1.278,4-9,Tree,3.0,M,LMH,N,3.0,Suitable conditions
8498,Ziziphus jujuba,Jujube,1.278,5-10,Tree,4.0,DM,LMH,N,3.0,Suitable conditions
6534,Rhus glabra,Smooth Sumach,1.278,3-9,Shrub,4.0,DM,LMH,N,3.0,Suitable conditions
1676,Carya hybrids,Hybrid and neohybrid hickories,1.278,4-11,Tree,4.0,DM,LMH,N,3.0,Suitable conditions
1153,Berberis aristata,"Chitra, Indian Barberry or Tree Turmeric",1.278,5-9,Shrub,4.0,DM,LMH,SN,3.0,Suitable conditions
6056,Prinsepia utilis,Cherry prinsepia,1.278,6-9,Shrub,4.0,M,LMH,SN,2.0,Suitable conditions
6661,Rosa canina,Dog Rose,1.278,3-7,Shrub,3.0,MWe,LMH,SN,3.0,Suitable conditions
4710,Mahonia repens,"Creeping Oregon Grape, Creeping barberry, Grape Oregon",1.278,4-8,Shrub,3.0,DM,LMH,SN,3.0,Suitable conditions
1709,Castanea species,Chestnut Hybrids,1.278,4-9,Tree,4.0,DM,LMH,SN,2.0,Suitable conditions
6694,Rosa rugosa,"Ramanas Rose, Rugosa rose",1.278,3-9,Shrub,5.0,DM,LMH,SN,2.0,Suitable conditions
5705,Pinus cembroides,"Mexican Pine Nut, Pinyon Pine",1.278,5-8,Tree,4.0,DM,LM,N,2.0,Suitable conditions
2339,Corylus maxima,"Filbert, Giant filbert",1.278,4-8,Shrub,5.0,M,LMH,SN,0.0,Suitable conditions
3948,Hyssopus officinalis,Hyssop,1.278,5-10,Shrub,2.0,DM,LM,N,3.0,Suitable conditions
2384,Crataegus aestivalis,"Eastern Mayhaw, May hawthorn, Mayhaw, Apple Hawthorn",1.278,6-11,Shrub,3.0,MWe,LMH,SN,2.0,Suitable conditions
5986,Populus hybrids,Hybrid poplar,1.278,2-10,Tree,3.0,DM,LMH,SN,3.0,Suitable conditions
2922,Elaeagnus pungens,"Elaeagnus, Thorny olive, Thorny Elaeagnus, Oleaster, Silverberry,  Silverthorn, Pungent  Elaeagnus",1.278,6-10,Shrub,5.0,DM,LMH,FSN,2.0,Suitable conditions
3464,Gaultheria shallon,"Shallon, Salal",1.278,6-9,Shrub,5.0,DM,LM,FSN,2.0,Suitable conditions
6772,Rubus fruticosus,"Blackberry, Shrubby blackberry",1.278,5-9,Shrub,5.0,M,LMH,FSN,3.0,Suitable conditions
2918,Elaeagnus multiflora ovata,Goumi,1.278,5-9,Shrub,5.0,DM,LMH,SN,2.0,Suitable conditions
2917,Elaeagnus multiflora,"Goumi, Cherry silverberry",1.278,5-9,Shrub,5.0,DM,LMH,SN,2.0,Suitable conditions
7842,Thymus praecox arcticus,Wild Thyme,1.278,4-8,Shrub,3.0,DM,LM,N,2.0,Suitable conditions
6366,Quercus ilex ballota,Holm Oak,1.278,6-9,Tree,5.0,M,LMH,SN,2.0,Suitable conditions
6365,Quercus ilex,"Holly Oak,  Evergreen Oak",1.278,4-10,Tree,5.0,M,LMH,SN,2.0,Suitable conditions
2914,Elaeagnus macrophylla,Broad-leaved Oleaster,1.278,6-9,Shrub,5.0,DM,LMH,FSN,2.0,Suitable conditions
102,Acer saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",1.278,4-8,Tree,4.0,M,LMH,SN,2.0,Suitable conditions
2906,Elaeagnus angustifolia,"Oleaster, Russian olive",1.278,2-7,Shrub,4.0,DM,LMH,N,2.0,Suitable conditions
6711,Rosmarinus officinalis,Rosemary,1.278,6-11,Shrub,3.0,DM,LM,N,3.0,Suitable conditions
1568,Caragana arborescens,"Siberian Pea Tree, Siberian peashrub",1.278,2-7,Shrub,5.0,DM,LM,N,1.0,Suitable conditions
5754,Pinus sylvestris,"Scot's Pine, Scotch Pine",1.278,3-7,Tree,2.0,DMWe,LM,SN,3.0,Suitable conditions
4943,Mitchella repens,Partridge Berry,1.278,4-9,Shrub,3.0,M,LM,SN,3.0,Suitable conditions
8062,Ulmus rubra,Slippery Elm,1.278,3-7,Tree,2.0,M,LMH,SN,5.0,Suitable conditions
4260,Lavandula angustifolia,"English Lavender, True Lavender",1.278,5-8,Shrub,2.0,DM,LMH,N,3.0,Suitable conditions
1188,Berberis vulgaris,"European Barberry, Common barberry",1.278,3-7,Shrub,3.0,DM,LMH,SN,3.0,Suitable conditions
6602,Ribes nigrum,"Blackcurrant, European black currant",1.278,4-8,Shrub,5.0,M,LMH,SN,3.0,Suitable conditions
4117,Juniperus communis nana,Juniper,1.278,4-10,Shrub,3.0,DM,LMH,SN,3.0,Suitable conditions
4116,Juniperus communis,"Juniper, Common juniper",1.278,4-10,Shrub,3.0,DM,LMH,SN,3.0,Suitable conditions
6001,Portulaca oleracea,"Green Purslane, Little hogweed",1.275,3-12,Annual,4.0,M,LM,N,3.0,Suitable conditions
7086,Sanguisorba minor,"Salad Burnet, Small burnet",1.275,4-8,Perennial,4.0,M,LMH,N,2.0,Suitable conditions
6052,Primula vulgaris,"Primrose, Common Primrose, English Primrose",1.275,5-10,Perennial,3.0,M,LMH,SN,3.0,Suitable conditions
6225,Psoralea esculenta,"Breadroot, Large Indian breadroot",1.275,4-8,Perennial,5.0,DM,LMH,N,1.0,Suitable conditions
3423,Galium odoratum,"Sweet Woodruff, Sweetscented bedstraw, Bedstraw",1.275,5-9,Perennial,3.0,DM,LMH,FS,3.0,Suitable conditions
7735,Tanacetum parthenium,"Feverfew, Matricaria",1.275,5-8,Perennial,2.0,DM,LMH,N,5.0,Suitable conditions
